3170,1488
1169,2973
2664,952
525,2444
2019,83
3502,1566
1166,3048
2682,1144
541,2661
2051,175
3538,1662
943,3147
2435,4639
3922,1171
5410,2659
1173,4150
2668,894
1999,3899
3484,1170
951,2663
2436,109
3946,1619
1183,3118
2695,1080
110,2569
1612,4071
2915,249
4082,1416
662,3610
902,3131
3054,523
1296,4187
202,3520
2955,57
549,3045
4675,1740
2901,810
2326,4826
4813,2472
-1,-1
1177,994
1420,488
3651,1760
614,1784
537,1882
228,1333
468,1322
2110,777
769,2413
2410,631
0,2279
1633,3912
3257,5536
4883,331
6508,1956
8136,3584
9766,5214
1090,6841
2721,8472
4345,10096
5973,381
7593,2001
9213,3621
10836,5244
1088,6865
2708,8485
4330,10107
5972,660
1040,2322
2690,1000
4311,2621
6010,4320
1475,497
1238,220
716,0
408,1639
1,745
1634,384
742,1
441,1642
1,771
1630,301
687,1945
248,1518
1893,661
1325,221
632,1858
167,1237
1805,634
1234,193
632,1837
222,1321
1854,660
1329,247
662,1891
221,1327
1857,659
1449,248
750,2017
276,1645
1,719
1646,448
768,0
484,1653
28,768
1669,441
770,1
386,1645
1,744
1643,443
768,1
438,1637
27,769
1666,466
798,28
464,1656
29,801
1667,549
1025,139
633,1780
384,1324
29,769
1674,523
906,57
608,1758
167,1100
1810,661
1324,331
773,1
493,1638
56,886
1702,584
1102,168
664,1815
276,1298
1,770
1643,521
909,83
607,1724
141,1103
1,746
1647,549
1251,248
744,1
328,1685
247,1019
166,965
84,822
1,714
0,579
1802,2381
3445,687
665,2364
2318,4017
3990,1268
0,2959
1641,4600
3276,1
4922,1647
6574,3299
1261,4961
2897,0
4542,1645
6171,3274
1,4916
1641,6556
3321,86
4955,1720
1325,3359
2999,139
1,1762
1616,3377
3238,4999
4853,1398
272,3012
229,988
1687,2446
730,28
0,220
1634,603
1298,523
1209,331
1018,195
821,55
171,209
601,578
881,401
470,1238
328,1154
1955,2781
83,1564
2036,740
607,2436
2247,604
86,55
1,1267
1647,0
0,1641
1642,3283
3286,1329
1268,2967
2912,1273
1235,2912
2873,1209
1212,2855
2857,715
886,2366
2532,1241
1235,2880
2874,1268
1323,0
1,1640
1644,28
56,1680
1699,83
249,1721
1889,111
0,1802
1670,0
3311,1641
1321,3279
2962,666
634,2326
2276,606
617,2292
2257,607
603,2245
2260,559
606,2224
2259,641
582,2299
2229,442
83,2085
1726,28
3372,1674
1351,3313
2768,877
771,2738
2404,661
665,2306
2302,575
443,2227
2098,250
59,1899
1748,3588
3427,699
5068,2340
6743,4015
631,5653
2284,222
3928,1866
621,3499
2264,667
3910,2313
1329,3958
2973,5602
4618,1241
6256,2879
246,4518
1870,6142
3499,7771
5143,9415
6789,0
8426,1637
10068,3279
84,4970
1765,6651
3404,605
5038,2239
1021,3884
2658,0
4295,1637
282,3278
1922,4918
3575,277
5231,1933
221,3569
1866,5214
3511,748
5152,2389
988,4027
2669,5708
4322,974
5967,2619
990,4259
2641,5910
4281,938
5937,2594
962,4235
2610,5883
4276,220
5925,1869
206,3515
1879,5188
3517,6826
5176,1659
